0	0
1	0
2	1
3	2
4	3
5	3
6	4
7	4
8	5
9	5
10	6
11	6
12	7
13	8
14	9
15	10
16	6
17	3
18	3
19	11
20	11
21	12
22	13
23	14
24	14
25	15
26	16
27	16
28	17
29	17
30	18
31	18
32	19
33	0
34	20
35	21
36	21
37	22
38	22
39	21
40	23
41	11
42	24
43	24
44	25
45	25
46	21
47	24
48	11
49	1
50	26
51	26
52	1
53	1
54	12
55	27
56	27
57	3
58	0
59	0
60	6
61	28
62	29
63	29
64	30
65	30
66	14
67	31
68	31
69	25
70	32
71	32
72	33
73	1
74	4
75	34
76	34
77	3
78	34
79	4
80	4
81	21
82	17
83	35
84	10
85	10
86	21
87	36
88	36
89	4
90	37
91	37
92	0
93	3
94	38
95	39
96	39
97	40
98	40
99	41
100	41
101	5
102	5
103	13
104	42
105	32
106	43
107	43
108	44
109	44
110	27
111	27
112	21
113	17
114	45
115	45
116	21
117	28
118	28
119	46
120	46
121	14
122	32
123	17
124	5
125	19
126	10
127	47
128	47
129	48
130	48
131	49
132	3
133	21
134	50
135	50
136	51
137	51
138	52
139	52
140	46
141	46
142	53
143	53
144	0
145	17
146	54
147	5
148	39
149	39
150	55
151	29
152	29
153	1
154	1
155	56
156	57
157	57
158	29
159	58
160	58
161	59
162	59
163	19
164	29
165	5
166	8
167	14
168	14
169	60
170	60
171	0
172	4
173	4
174	11
175	8
176	57
177	25
178	25
179	61
180	61
181	0
182	0
183	62
184	62
185	3
186	37
187	32
188	8
189	18
190	25
191	8
192	8
193	53
194	53
195	17
196	19
197	19
198	19
199	28
200	15
201	15
202	47
203	63
204	64
205	64
206	18
207	65
208	65
209	66
210	67
211	5
212	19
213	0
214	24
215	39
216	4
217	14
218	26
219	58
220	6
221	10
222	21
223	8
224	8
225	68
226	39
227	39
228	61
229	21
230	47
231	47
232	26
233	26
234	69
235	7
236	53
237	1
238	1
239	43
240	5
241	5
242	57
243	57
244	66
245	70
246	70
247	7
248	8
249	8
250	57
251	71
252	71
253	21
254	14
255	72
256	72
257	18
258	14
259	73
260	73
261	74
262	75
263	21
264	76
265	76
266	77
267	77
268	78
269	78
270	7
271	11
272	8
273	17
274	8
275	13
276	4
277	21
278	79
279	79
280	17
281	50
282	18
283	29
284	5
285	21
286	80
287	80
288	81
289	39
290	25
291	22
292	22
293	82
294	8
295	8
296	21
297	83
298	10
299	3
300	49
301	11
302	1
303	84
304	27
305	1
306	39
307	39
308	81
309	77
310	77
311	19
312	19
313	10
314	19
315	56
316	56
317	85
318	85
319	3
320	86
321	15
322	77
323	77
324	19
325	87
326	55
327	88
328	88
329	61
330	61
331	14
332	14
333	8
334	72
335	72
336	89
337	89
338	63
339	10
340	29
341	89
342	19
343	21
344	10
345	10
346	90
347	21
348	26
349	34
350	5
351	10
352	21
353	3
354	5
355	58
356	45
357	45
358	3
359	91
360	21
361	66
362	4
363	4
364	1
365	21
366	21
367	92
368	43
369	93
370	93
371	69
372	3
373	37
374	29
375	21
376	94
377	54
378	23
379	3
380	46
381	46
382	81
383	81
384	17
385	81
386	81
387	1
388	1
389	95
390	95
391	1
392	17
393	18
394	3
395	72
396	53
397	19
398	15
399	57
400	29
401	29
402	96
403	96
404	15
405	15
406	58
407	6
408	78
409	18
410	71
411	0
412	25
413	97
414	15
415	98
416	98
417	21
418	98
419	26
420	21
421	46
422	8
423	21
424	29
425	13
426	57
427	46
428	99
429	99
430	8
431	100
432	100
433	8
434	62
435	101
436	101
437	21
438	11
439	102
440	13
441	58
442	59
443	10
444	10
445	6
446	81
447	103
448	103
449	92
450	24
451	24
452	47
453	47
454	47
455	15
456	15
457	61
458	61
459	8
460	53
461	104
462	104
463	23
464	21
465	21
466	105
467	105
468	37
469	49
470	70
471	85
472	85
473	46
474	63
475	21
476	106
477	106
478	21
479	5
480	21
481	8
482	39
483	39
484	29
485	29
486	14
487	59
488	107
489	107
490	8
491	8
492	42
493	108
494	54
495	3
496	109
497	17
498	5
499	110
500	110
501	24
502	24
503	50
504	58
505	85
506	111
507	111
508	111
509	85
510	105
511	105
512	62
513	6
514	112
515	46
516	90
517	15
518	39
519	29
520	22
521	0
522	24
523	106
524	59
525	6
526	113
527	21
528	6
529	39
530	66
531	114
532	114
533	18
534	29
535	4
536	14
537	79
538	17
539	115
540	50
541	18
542	46
543	23
544	81
545	62
546	72
547	29
548	29
549	61
550	72
551	21
552	116
553	117
554	117
555	38
556	84
557	27
558	27
559	72
560	118
561	118
562	47
563	5
564	119
565	6
566	120
567	81
568	81
569	79
570	7
